"TIME","GEO","SEVERITY","AGE","NACE_R1","UNIT","Value","Flag and Footnotes"
"1998","Czechia","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Czechia","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Czechia","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Denmark","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","49",""
"1998","Denmark","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","1",""
"1998","Denmark","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","4",""
"1998","Denmark","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","7",""
"1998","Denmark","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","11",""
"1998","Germany (until 1990 former territory of the FRG)","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","481",""
"1998","Germany (until 1990 former territory of the FRG)","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","0",""
"1998","Germany (until 1990 former territory of the FRG)","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","32",""
"1998","Germany (until 1990 former territory of the FRG)","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","88",""
"1998","Germany (until 1990 former territory of the FRG)","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","117",""
"1998","Estonia","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Estonia","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Estonia","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Estonia","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Estonia","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Ireland","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","33","d"
"1998","Ireland","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","0","d"
"1998","Ireland","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","2","d"
"1998","Ireland","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","0","d"
"1998","Ireland","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","0","d"
"1998","Greece","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","46",""
"1998","Greece","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","1",""
"1998","Greece","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","4",""
"1998","Greece","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","10",""
"1998","Greece","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","15",""
"1998","Spain","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","420",""
"1998","Spain","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","3",""
"1998","Spain","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","43",""
"1998","Spain","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","108",""
"1998","Spain","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","109",""
"1998","France","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","415",""
"1998","France","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","0",""
"1998","France","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","36",""
"1998","France","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","87",""
"1998","France","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","110",""
"1998","Italy","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","686",""
"1998","Italy","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","10",""
"1998","Italy","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","77",""
"1998","Italy","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","157",""
"1998","Italy","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","141",""
"1998","Cyprus","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Cyprus","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Cyprus","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Cyprus","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Cyprus","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Latvia","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Latvia","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Latvia","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Latvia","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Latvia","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Lithuania","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Lithuania","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Lithuania","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Lithuania","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Lithuania","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Luxembourg","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","7",""
"1998","Luxembourg","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","0",""
"1998","Luxembourg","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","1",""
"1998","Luxembourg","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","2",""
"1998","Luxembourg","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","1",""
"1998","Hungary","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Hungary","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Hungary","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Hungary","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Hungary","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Malta","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Malta","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Malta","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Malta","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Malta","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Netherlands","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","88",""
"1998","Netherlands","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","5",""
"1998","Netherlands","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","7",""
"1998","Netherlands","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","23",""
"1998","Netherlands","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","12",""
"1998","Austria","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","143",""
"1998","Austria","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","1",""
"1998","Austria","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","10",""
"1998","Austria","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","23",""
"1998","Austria","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","31",""
"1998","Poland","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Poland","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Poland","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Poland","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Poland","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Portugal","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","166",""
"1998","Portugal","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","0",""
"1998","Portugal","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","27",""
"1998","Portugal","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","67",""
"1998","Portugal","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","0",""
"1998","Romania","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Romania","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Romania","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Romania","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Romania","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Slovenia","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Slovenia","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Slovenia","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Slovenia","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Slovenia","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Slovakia","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Slovakia","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Slovakia","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Slovakia","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Slovakia","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Finland","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","34",""
"1998","Finland","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","0",""
"1998","Finland","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","5",""
"1998","Finland","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","9",""
"1998","Finland","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","5",""
"1998","Sweden","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","28",""
"1998","Sweden","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","0",""
"1998","Sweden","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","1",""
"1998","Sweden","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","2",""
"1998","Sweden","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","7",""
"1998","Great Britain","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","212",""
"1998","Great Britain","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","2",""
