"TIME","GEO","UNIT","INDIC_IL","CITIZEN","SEX","AGE","Value","Flag and Footnotes"
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,369","e"
"2008","Euro area (19 countries)","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Euro area (19 countries)","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","12,016","e"
"2008","Euro area (19 countries)","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Euro area (19 countries)","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","13,021","e"
"2008","Euro area (19 countries)","Euro","Median equivalised net income","Foreign country","Total","18 years or over","12,528","e"
"2008","Euro area (19 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,903",""
"2008","Euro area (18 countries)","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Euro area (18 countries)","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","12,018","e"
"2008","Euro area (18 countries)","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Euro area (18 countries)","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","13,035","e"
"2008","Euro area (18 countries)","Euro","Median equivalised net income","Foreign country","Total","18 years or over","12,537","e"
"2008","Euro area (18 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,035",""
"2008","Belgium","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Belgium","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","10,965",""
"2008","Belgium","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Belgium","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","16,000",""
"2008","Belgium","Euro","Median equivalised net income","Foreign country","Total","18 years or over","14,318",""
"2008","Belgium","Euro","Median equivalised net income","Reporting country","Total","18 years or over","18,334",""
"2008","Bulgaria","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Bulgaria","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","2,304","u"
"2008","Bulgaria","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Bulgaria","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over",":","u"
"2008","Bulgaria","Euro","Median equivalised net income","Foreign country","Total","18 years or over","2,304","u"
"2008","Bulgaria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,195",""
"2008","Czechia","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Czechia","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","5,773",""
"2008","Czechia","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Czechia","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","7,084",""
"2008","Czechia","Euro","Median equivalised net income","Foreign country","Total","18 years or over","6,218",""
"2008","Czechia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","6,167",""
"2008","Denmark","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Denmark","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","18,596",""
"2008","Denmark","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Denmark","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","21,209",""
"2008","Denmark","Euro","Median equivalised net income","Foreign country","Total","18 years or over","19,056",""
"2008","Denmark","Euro","Median equivalised net income","Reporting country","Total","18 years or over","24,176",""
"2008","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","14,960",""
"2008","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","18,245",""
"2008","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Foreign country","Total","18 years or over","16,362",""
"2008","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","18,668",""
"2008","Estonia","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Estonia","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","4,781",""
"2008","Estonia","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Estonia","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","6,684","u"
"2008","Estonia","Euro","Median equivalised net income","Foreign country","Total","18 years or over","4,783",""
"2008","Estonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,748",""
"2008","Ireland","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Ireland","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","22,299",""
"2008","Ireland","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Ireland","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","21,222",""
"2008","Ireland","Euro","Median equivalised net income","Foreign country","Total","18 years or over","21,733",""
"2008","Ireland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","23,726",""
"2008","Greece","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Greece","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","8,131",""
"2008","Greece","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Greece","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","9,100",""
"2008","Greece","Euro","Median equivalised net income","Foreign country","Total","18 years or over","8,333",""
"2008","Greece","Euro","Median equivalised net income","Reporting country","Total","18 years or over","11,200",""
"2008","Spain","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Spain","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","10,191","b"
"2008","Spain","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Spain","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","9,218","b"
"2008","Spain","Euro","Median equivalised net income","Foreign country","Total","18 years or over","9,375","b"
"2008","Spain","Euro","Median equivalised net income","Reporting country","Total","18 years or over","14,914","b"
"2008","France","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","France","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","11,758",""
"2008","France","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","France","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","18,388",""
"2008","France","Euro","Median equivalised net income","Foreign country","Total","18 years or over","14,618",""
"2008","France","Euro","Median equivalised net income","Reporting country","Total","18 years or over","19,581",""
"2008","Croatia","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Croatia","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over",":",""
"2008","Croatia","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Croatia","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over",":",""
"2008","Croatia","Euro","Median equivalised net income","Foreign country","Total","18 years or over",":",""
"2008","Croatia","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":",""
"2008","Italy","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Italy","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","15,200",""
"2008","Italy","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Italy","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","12,200",""
"2008","Italy","Euro","Median equivalised net income","Foreign country","Total","18 years or over","12,797",""
"2008","Italy","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,149",""
"2008","Cyprus","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Cyprus","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","13,360",""
"2008","Cyprus","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Cyprus","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","15,184",""
"2008","Cyprus","Euro","Median equivalised net income","Foreign country","Total","18 years or over","14,804",""
"2008","Cyprus","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,658",""
"2008","Latvia","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Latvia","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","2,981","u"
"2008","Latvia","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Latvia","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","4,341",""
"2008","Latvia","Euro","Median equivalised net income","Foreign country","Total","18 years or over","4,325",""
"2008","Latvia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,858",""
"2008","Lithuania","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Lithuania","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over",":","u"
"2008","Lithuania","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Lithuania","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","4,344",""
"2008","Lithuania","Euro","Median equivalised net income","Foreign country","Total","18 years or over","4,168",""
"2008","Lithuania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,137",""
"2008","Luxembourg","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Luxembourg","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","21,366",""
"2008","Luxembourg","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Luxembourg","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","27,662",""
"2008","Luxembourg","Euro","Median equivalised net income","Foreign country","Total","18 years or over","27,266",""
"2008","Luxembourg","Euro","Median equivalised net income","Reporting country","Total","18 years or over","33,602",""
"2008","Hungary","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Hungary","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","4,863","u"
"2008","Hungary","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Hungary","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","3,864","u"
"2008","Hungary","Euro","Median equivalised net income","Foreign country","Total","18 years or over","3,864",""
"2008","Hungary","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,509",""
"2008","Malta","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Malta","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","12,129",""
"2008","Malta","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Malta","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","10,985",""
"2008","Malta","Euro","Median equivalised net income","Foreign country","Total","18 years or over","10,985",""
"2008","Malta","Euro","Median equivalised net income","Reporting country","Total","18 years or over","10,339",""
"2008","Netherlands","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Netherlands","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","16,315",""
"2008","Netherlands","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Netherlands","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","19,346",""
"2008","Netherlands","Euro","Median equivalised net income","Foreign country","Total","18 years or over","18,569",""
"2008","Netherlands","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,047",""
"2008","Austria","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Austria","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","16,352","b"
"2008","Austria","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Austria","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","14,126","b"
"2008","Austria","Euro","Median equivalised net income","Foreign country","Total","18 years or over","14,423","b"
"2008","Austria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,488","b"
"2008","Poland","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Poland","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","5,689","u"
"2008","Poland","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Poland","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over",":","u"
"2008","Poland","Euro","Median equivalised net income","Foreign country","Total","18 years or over","5,830","u"
"2008","Poland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,229",""
"2008","Portugal","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Portugal","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","7,126",""
"2008","Portugal","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Portugal","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","8,855","u"
"2008","Portugal","Euro","Median equivalised net income","Foreign country","Total","18 years or over","7,126",""
"2008","Portugal","Euro","Median equivalised net income","Reporting country","Total","18 years or over","8,387",""
"2008","Romania","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Romania","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over",":","u"
"2008","Romania","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Romania","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over",":","u"
"2008","Romania","Euro","Median equivalised net income","Foreign country","Total","18 years or over",":","u"
"2008","Romania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,027",""
"2008","Slovenia","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Slovenia","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","8,189",""
"2008","Slovenia","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Slovenia","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over",":","u"
"2008","Slovenia","Euro","Median equivalised net income","Foreign country","Total","18 years or over","8,604",""
"2008","Slovenia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","10,997",""
"2008","Slovakia","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Slovakia","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over",":","u"
"2008","Slovakia","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Slovakia","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","4,319","u"
"2008","Slovakia","Euro","Median equivalised net income","Foreign country","Total","18 years or over","4,259","u"
"2008","Slovakia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,858",""
"2008","Finland","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Finland","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","12,651",""
"2008","Finland","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Finland","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","17,762",""
"2008","Finland","Euro","Median equivalised net income","Foreign country","Total","18 years or over","15,327",""
"2008","Finland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,138",""
"2008","Sweden","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Sweden","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","18,662","b"
"2008","Sweden","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Sweden","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","12,670","b"
"2008","Sweden","Euro","Median equivalised net income","Foreign country","Total","18 years or over","15,082","b"
"2008","Sweden","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,735","b"
"2008","United Kingdom","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","United Kingdom","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","18,475",""
"2008","United Kingdom","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","United Kingdom","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","19,495",""
"2008","United Kingdom","Euro","Median equivalised net income","Foreign country","Total","18 years or over","18,930",""
"2008","United Kingdom","Euro","Median equivalised net income","Reporting country","Total","18 years or over","19,619",""
"2008","Iceland","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Iceland","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","28,681",""
"2008","Iceland","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Iceland","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","29,776",""
"2008","Iceland","Euro","Median equivalised net income","Foreign country","Total","18 years or over","28,953",""
"2008","Iceland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","33,348",""
"2008","Norway","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Norway","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","33,954",""
"2008","Norway","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Norway","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","22,195",""
"2008","Norway","Euro","Median equivalised net income","Foreign country","Total","18 years or over","30,333",""
"2008","Norway","Euro","Median equivalised net income","Reporting country","Total","18 years or over","32,564",""
"2008","Switzerland","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Switzerland","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","27,789",""
"2008","Switzerland","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Switzerland","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","21,045",""
"2008","Switzerland","Euro","Median equivalised net income","Foreign country","Total","18 years or over","24,654",""
"2008","Switzerland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","29,206",""
"2008","Former Yugoslav Republic of Macedonia, the","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Former Yugoslav Republic of Macedonia, the","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over",":",""
"2008","Former Yugoslav Republic of Macedonia, the","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Former Yugoslav Republic of Macedonia, the","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over",":",""
"2008","Former Yugoslav Republic of Macedonia, the","Euro","Median equivalised net income","Foreign country","Total","18 years or over",":",""
"2008","Former Yugoslav Republic of Macedonia, the","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":",""
"2008","Serbia","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Serbia","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over",":",""
"2008","Serbia","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Serbia","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over",":",""
"2008","Serbia","Euro","Median equivalised net income","Foreign country","Total","18 years or over",":",""
"2008","Serbia","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":",""
"2008","Turkey","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Turkey","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over",":","u"
"2008","Turkey","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Turkey","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over",":","u"
"2008","Turkey","Euro","Median equivalised net income","Foreign country","Total","18 years or over","5,121","u"
"2008","Turkey","Euro","Median equivalised net income","Reporting country","Total","18 years or over","3,180",""
"2009","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over","16,471","u"
